variance_with_exp,variance_without_exp,errors,errors_v2,epoch,iter_idx,domain
0.014753314,0.015253472,0.112945669,0.112945669,10,2,normals
0.015515968,0.01615043,0.112565695,0.112565695,20,2,normals
0.01266371,0.013258943,0.103104474,0.103104474,30,2,normals
0.009512054,0.009962781,0.095404763,0.095404763,40,2,normals
0.009119406,0.009588721,0.094140979,0.094140979,50,2,normals
0.008544312,0.008979893,0.091625248,0.091625248,60,2,normals
0.007893697,0.008299574,0.089738043,0.089738043,70,2,normals
0.007391944,0.007778249,0.088703744,0.088703744,80,2,normals
0.007409853,0.00780099,0.088630141,0.088630141,90,2,normals
0.007381638,0.007774781,0.088282024,0.088282024,100,2,normals
0.018533047,0.018599568,0.118819343,0.118819343,10,1,normals
0.017397601,0.017483511,0.113469612,0.113469612,20,1,normals
0.015301078,0.015414718,0.105817225,0.105817225,30,1,normals
0.015034666,0.015448486,0.105108935,0.105108935,40,1,normals
0.012151422,0.01212918,0.095823078,0.095823078,50,1,normals
0.012007566,0.011995,0.095363873,0.095363873,60,1,normals
0.01158993,0.011554038,0.094565804,0.094565804,70,1,normals
0.011189114,0.011417497,0.093165348,0.093165348,80,1,normals
0.01161864,0.011596887,0.093437302,0.093437302,90,1,normals
0.011610248,0.011591004,0.093380585,0.093380585,100,1,normals
0.013808806,0.012922153,0.182852177,0.182852177,10,1,depth
0.012362789,0.011656413,0.174190102,0.174190102,20,1,depth
0.014274088,0.013919047,0.174635805,0.174635805,30,1,depth
0.010347916,0.010083222,0.156192522,0.156192522,40,1,depth
0.010633238,0.010668155,0.157237387,0.157237387,50,1,depth
0.010056618,0.009844049,0.147258637,0.147258637,60,1,depth
0.008371667,0.008386387,0.147728924,0.147728924,70,1,depth
0.008226165,0.007991234,0.142943554,0.142943554,80,1,depth
0.008177717,0.007957283,0.142864392,0.142864392,90,1,depth
0.00835723,0.0081602,0.143165117,0.143165117,100,1,depth
0.011537692,0.011634632,0.168298291,0.168298291,10,2,depth
0.01332978,0.013659303,0.167703122,0.167703122,20,2,depth
0.010465087,0.010795358,0.160143742,0.160143742,30,2,depth
0.006768925,0.006928722,0.15103156,0.15103156,40,2,depth
0.007781965,0.008196529,0.147830168,0.147830168,50,2,depth
0.006074131,0.006368431,0.140335222,0.140335222,60,2,depth
0.005453034,0.005758325,0.140269117,0.140269117,70,2,depth
0.004866666,0.005164503,0.137578666,0.137578666,80,2,depth
0.004568866,0.004846835,0.137350563,0.137350563,90,2,depth
0.004501334,0.004774826,0.136852399,0.136852399,100,2,depth
